T	m
0.100000	1.000000
0.200000	1.000000
0.300000	1.000000
0.400000	1.000000
0.500000	1.000000
0.600000	1.000000
0.700000	1.000000
0.800000	0.999999
0.900000	0.999997
1.000000	0.999988
1.100000	0.999963
1.200000	0.999909
1.300000	0.999804
1.400000	0.999620
1.500000	0.999326
1.600000	0.998885
1.700000	0.998261
1.800000	0.997414
1.900000	0.996306
2.000000	0.994902
2.100000	0.993164
2.200000	0.991059
2.300000	0.988556
2.400000	0.985624
2.500000	0.982235
2.600000	0.978361
2.700000	0.973976
2.800000	0.969055
2.900000	0.963572
3.000000	0.957504
3.100000	0.950824
3.200000	0.943508
3.300000	0.935529
3.400000	0.926860
3.500000	0.917471
3.600000	0.907332
3.700000	0.896410
3.800000	0.884667
3.900000	0.872065
4.000000	0.858560
4.100000	0.844101
4.200000	0.828635
4.300000	0.812098
4.400000	0.794419
4.500000	0.775516
4.600000	0.755293
4.700000	0.733636
4.800000	0.710412
4.900000	0.685456
5.000000	0.658570
5.100000	0.629501
5.200000	0.597930
5.300000	0.563433
5.400000	0.525430
5.500000	0.483091
5.600000	0.435150
5.700000	0.379485
5.800000	0.311987
5.900000	0.222112
6.000000	0.000172
6.100000	0.000000
6.200000	0.000000
6.300000	0.000000
6.400000	0.000000
6.500000	0.000000
6.600000	0.000000
6.700000	0.000000
6.800000	0.000000
6.900000	0.000000
7.000000	0.000000
7.100000	0.000000
7.200000	0.000000
7.300000	0.000000
7.400000	0.000000
7.500000	0.000000
7.600000	0.000000
7.700000	0.000000
7.800000	0.000000
7.900000	0.000000
8.000000	0.000000
8.100000	0.000000
8.200000	0.000000
8.300000	0.000000
8.400000	0.000000
8.500000	0.000000
8.600000	0.000000
8.700000	0.000000
8.800000	0.000000
8.900000	0.000000
9.000000	0.000000
9.100000	0.000000
9.200000	0.000000
9.300000	0.000000
9.400000	0.000000
9.500000	0.000000
9.600000	0.000000
9.700000	0.000000
9.800000	0.000000
9.900000	0.000000
10.000000	0.000000
